Task,Best_C,Train_AUC,Val_AUC,Time_Seconds
NR-AR,0.0078125,0.7971265459963714,0.7150067294751009,145.47094631195068
NR-AR-LBD,0.015625,0.7915851792380325,0.7538786279683377,132.37489318847656
NR-AhR,1,0.8974169820754764,0.8654535332799833,155.89244294166565
NR-Aromatase,0.125,0.8352715172721348,0.7840104849279161,160.50646209716797
NR-ER,4,0.8494042366610945,0.7615220483641537,183.27593350410461
NR-ER-LBD,2,0.9497902179425854,0.798402471895339,155.40816402435303
NR-PPAR-gamma,0.125,0.8382933880338799,0.712973378327709,156.83238124847412
SR-ARE,1,0.7998133097075346,0.7350648956817079,183.6732473373413
SR-ATAD5,0.5,0.9106891219493944,0.858136234626301,158.17668080329895
SR-HSE,1,0.8937693034019274,0.6844155844155844,171.4294400215149
SR-MMP,2,0.8932380624129435,0.8416695352839931,166.7290506362915
SR-p53,4,0.9519457824577126,0.7868775235531629,162.83312392234802
